Groups,Species,Species_ID,Origin,Origin_ID,SI,A_years,H_m,DBH_cm,N_trees,RS(P),BA_sq_m_ha,GS_cub_m,ALL_STEM_t_ha,Stem_wood_t_ha,Stem_bark_t_ha,Crown_t_ha,Foliage_t_ha,LN_GS_cub_m,LN_ALL_STEM_t_ha,LN_Stem_wood_t_ha,LN_Stem_bark_t_ha,LN_Crown_t_ha,LN_Foliage_t_ha
1,Pine,0,n,0,4,50,9.7,14.6,486,0.35,9.7,43.9,18.9,,,8.4,1.6,3.78,2.94,,,2.13,0.47
1,Pine,0,n,0,2,65,20.6,20.6,785,0.7,32.2,254,113.1,,,11.5,4.1,5.54,4.73,,,2.44,1.41
1,Pine,0,n,0,2,50,13.6,15.4,1745,0.93,35.2,190,87.8,,,13.7,4.1,5.25,4.48,,,2.62,1.41
1,Pine,0,n,0,1,60,23.3,22.2,665,0.62,29.6,277.7,106.5,,,14.4,5.4,5.63,4.67,,,2.67,1.69
1,Pine,0,n,0,3,65,15.6,16.4,955,0.59,20.4,142.5,67,,,14.2,3.4,4.96,4.20,,,2.65,1.22
1,Pine,0,n,0,6,50,5,10.5,955,0.52,7.9,28,13.1,,,3.6,1,3.33,2.57,,,1.28,0.00
1,Pine,0,n,0,7,80,5.1,7.4,1150,0.29,4.4,17.3,6.8,,,1.8,1,2.85,1.92,,,0.59,0.00
1,Pine,0,n,0,6,50,3.3,5.3,340,0.4,3.5,2.4,1.8,,,0.5,0.2,0.88,0.59,,,-0.69,-1.61
1,Oak,5,n,0,4,140,21.6,25.8,480,0.74,26.9,259.8,134.3,,,26.7,4.1,5.56,4.90,,,3.28,1.41
1,Oak,5,n,0,3,100,21.8,22.2,500,0.55,20,196.2,128.6,,,24.8,4.3,5.28,4.86,,,3.21,1.46
1,Oak,5,n,0,2,60,18.2,19.6,600,0.59,18.3,159,101.8,85.4,16.4,20.4,2.6,5.07,4.62,4.45,2.80,3.02,0.96
1,Spruce,1,n,0,2,27,8.8,5.2,10216,0.8,15.5,105,46.3,38,8.3,18.48,17.22,4.65,3.84,3.64,2.12,2.92,2.85
