Site #,Origin,Dominant_s,N_trees at,A_year,D_live_cm,H_live_m,G_live_m2_,f_Gs_cub_m,f_M_stem_kg_m2,f_M_stem_bark_kg_m2,f_M_crown_kg_m2,f_M_foliage_kg_m2,f_M_AG_kg_m2,Ln_Gs_cub_m,Ln_M_stem_kg_m2,Ln_M_stem_bark_kg_m2,Ln_M_crown_kg_m2,Ln_M_foliage_kg_m2,Ln_M_AG_kg_m2,F_Soil,M_Soil,X_N36,Y_N36,Cs_wood_Bq/kg,Sr_wood_Bq/kg,Ln_Cs_wood,Ln_Sr_wood,Cs_2021_kB,Sr_2021_kB,Tag_Cs,Tag_Sr,Ln_Tag_Cs,Ln_Tag_Sr,AEDR_count,AEDR_mean,Distance_k,Azimuth,r2020B01,r2020B02,r2020B03,r2020B04,r2020B05,r2020B06,r2020B07,r2020B08,r2020B09,r2020B10,r2020B11,r2020B12,r2020B13,r2019B01,r2019B02,r2019B03,r2019B04,r2019B05,r2019B06,r2019B07,r2019B08,r2019B09,r2019B10,r2019B11,r2019B12
1,n,Birch,57,35,13.5,17.3,15.1,123,5.83,0.73,0.853,0.087,6.77,4.81,1.76,-0.31,-0.16,-2.44,1.91,B,3,298987.203,5702242.101,920,10300,6.8,9.2,1912,784,0.5,13.1,-0.7,2.6,27,2.33,5.2,9,0.0193965339,0.0353442118,0.0286158516,0.2544168542,0.175279665,0.0866110911,0.7977608185,-0.7493114066,0.4912695984,-15.527245772,-11.385074325,0.7338064957,0.0407810699,0.0254831982,0.0409101066,0.0306279442,0.2662101416,0.1662987361,0.0813163824,0.7933513731,-0.7336926488,0.5320506853,-15.396488443,-11.262036747,0.731936861
2,a,Pine,25,58,15,16.9,39,317,11.67,0.78,1.409,0.819,13.9,5.76,2.46,-0.25,0.34,-0.2,2.63,B,2,299016.572,5702071.253,3600,15100,8.2,9.6,2005,818,1.8,18.5,0.6,2.9,25,2.47,5,10,0.0191665738,0.0335370159,0.0222298846,0.1898256439,0.0922252127,0.0471201468,0.7891287839,-0.7053551256,0.6597752494,-16.547673342,-10.947564715,0.6617233178,-0.1027756054,0.0240747433,0.0381638551,0.0279335644,0.183349495,0.102655743,0.0521438647,0.7354926911,-0.6554562037,0.5569996416,-16.012155722,-9.3646642472,0.5849203459
3,a,Pine,32,58,13.7,16.8,42.8,346,12.37,0.9,1.732,0.807,14.91,5.85,2.52,-0.11,0.55,-0.21,2.7,B,2,299072.773,5702073.024,4360,14600,8.4,9.6,2001,818,2.2,17.8,0.8,2.9,26,2.44,5.1,11,0.0195682287,0.0359571984,0.0211900722,0.2043633937,0.0930621116,0.0438237016,0.8121202495,-0.7047579665,0.6313484282,-14.341916916,-11.884799426,0.8296026049,-0.0632002286,0.022491797,0.038968188,0.0261230303,0.1840659864,0.0996253437,0.050684286,0.7514364315,-0.6505745652,0.5681482071,-13.609903361,-9.7261083793,0.7151768005
4,a,Pine,63,58,20.3,18.4,38.8,315,13.88,0.92,1.477,0.704,16.06,5.75,2.63,-0.08,0.39,-0.35,2.78,B,2,299152.693,5702069.315,3420,12700,8.1,9.4,2040,833,1.7,15.2,0.5,2.7,23,2.55,5.1,11,0.0205559221,0.0338683641,0.0252839547,0.1879982881,0.1028719899,0.0485853127,0.7624314425,-0.6954159936,0.6018938404,-14.885610136,-11.725162777,0.7876086525,-0.0571766733,0.0237422583,0.0378106113,0.0273898939,0.1772206214,0.1025398744,0.0521977898,0.7324042089,-0.6483099329,0.5447171661,-14.321649709,-10.457536162,0.7303896569
5,a,Pine,53,58,17.5,19.9,48.3,383,14.51,1,1.771,0.69,16.97,5.95,2.67,0,0.57,-0.37,2.83,B,2,299249.689,5702063.265,2200,12100,7.7,9.4,1758,717,1.3,16.9,0.2,2.8,24,2.14,5.1,13,0.0190027775,0.0361525324,0.0249107168,0.2162711282,0.0969809799,0.0448797185,0.7936057599,-0.7175617874,0.6429417493,-14.647913391,-11.512281825,0.7856976132,-0.0738297844,0.022916382,0.0375573484,0.0257024112,0.1837048187,0.1013937716,0.0504366763,0.7544812161,-0.6603823458,0.5691119536,-13.934375325,-11.393335136,0.8174296369
6,a,Pine,46,58,23.1,17.4,18.9,151,6.26,1.02,1.36,0.304,7.92,5.02,1.83,0.02,0.31,-1.19,2.07,B,2,299324.039,5702085.293,3360,13000,8.1,9.5,1661,678,2,19.2,0.7,3,34,2.04,5.1,13,0.019496203,0.0320989024,0.023683247,0.1604259058,0.0932240393,0.0488922254,0.7415248918,-0.6740071801,0.5664174385,-14.629126982,-9.4104241516,0.6428672357,-0.1042877545,0.026299597,0.0377308038,0.0308835658,0.1679214365,0.1100279396,0.0615642885,0.6892806456,-0.6326905181,0.4621296937,-14.453514639,-9.0267708382,0.624064325
7,n,Birch,34,25,16.8,15.3,13.8,99,5.21,0.92,0.884,0.113,6.2,4.6,1.65,-0.08,-0.12,-2.18,1.82,B,2,299315.194,5701798.112,946,7800,6.9,9,1867,752,0.5,10.4,-0.7,2.3,22,2.32,4.8,14,0.037839498,0.0547079723,0.0602324008,0.2177357035,0.2379087133,0.1357737137,0.566019759,-0.6194955664,0.2753940028,-19.046777835,-12.45717157,0.6543853682,-0.0526261547,0.0380406201,0.0537674237,0.0564794918,0.2083577204,0.2275744647,0.1323288603,0.5729078671,-0.589217885,0.2227678501,-18.164983536,-12.613513014,0.6944679768
8,n,Birch,34,25,6.3,9.9,8.4,46,2.77,0.45,0.573,0.169,3.51,3.83,1.02,-0.8,-0.56,-1.78,1.26,B,2,299242.45,5701737.527,1360,7400,7.2,8.9,1944,784,0.7,9.4,-0.4,2.2,30,2.4,4.8,13,0.0304472388,0.0509009539,0.0536275912,0.2308575668,0.2343302974,0.1302698493,0.62322494,-0.6448098601,0.2839098878,-18.284470652,-11.045268373,0.6046026874,-0.0188445975,0.0320907318,0.0493976682,0.0472320427,0.2199376252,0.2258902065,0.1276768943,0.6461139052,-0.633002997,0.2650652984,-18.88380692,-10.888454937,0.5770377699
9,a,Oak,43,65,21.4,15.3,20.9,158,9.59,2.23,1.43,0.325,11.35,5.06,2.26,0.8,0.36,-1.12,2.43,B,2,298975.258,5701877.634,4900,3360,8.5,8.1,2369,954,2.1,3.5,0.7,1.3,46,3,4.8,10,0.0152623177,0.0252909012,0.0177171115,0.1553011673,0.092673189,0.041736059,0.7932507143,-0.70691291,0.5320887356,-17.20311267,-11.086635431,0.6454383529,0.0466622771,0.0270359825,0.0460113386,0.0314368978,0.2213591895,0.1183683942,0.0589164139,0.7515301209,-0.6559785632,0.5787510151,-16.545642393,-10.109937793,0.611758689
10,n,Birch,26,30,15.7,16.4,18.7,143,7.5,1.06,1.26,0.185,8.95,4.96,2.01,0.06,0.23,-1.69,2.19,C,3,299209.988,5701122.689,1990,7450,7.6,8.9,2527,1006,0.8,7.4,-0.2,2,54,3.15,4.2,15,0.0280084017,0.0515661417,0.0423302078,0.2665678979,0.1971997078,0.104204959,0.725425389,-0.6792154985,0.363419791,-16.516205965,-12.301175773,0.7454477242,0.0246441253,0.0271725562,0.0436051819,0.0353966539,0.2303177975,0.1937837872,0.1013776027,0.7336878812,-0.6818609302,0.3880639231,-16.992037234,-11.687016322,0.6889022974
11,n,Birch,35,15,3.7,7.5,3.7,24,1.29,0.32,0.391,0.091,1.77,3.18,0.25,-1.14,-0.94,-2.4,0.57,B,2,299128.76,5701185.241,2300,18600,7.7,9.8,2406,957,1,19.4,0,3,20,3,4.2,14,0.0173726771,0.0309898876,0.0276074779,0.1892772626,0.1336255158,0.0671488104,0.7451930423,-0.7232836263,0.4906784365,-16.408110523,-13.274980552,0.8094739202,-0.0429753101,0.0242691956,0.0368571747,0.027611433,0.1949212968,0.1428092693,0.0742452693,0.7517021024,-0.6818614747,0.4477031304,-15.526164633,-13.62814853,0.877742683
12,a,Pine,42,45,18,20.1,39.9,369,15.28,0.96,1.353,0.622,17.25,5.91,2.73,-0.04,0.3,-0.47,2.85,B,2,299089.19,5701068.788,2670,5400,7.9,8.6,2683,1079,1,5,0,1.6,28,3.26,4.1,13,0.0176438194,0.0299182983,0.0190134218,0.200588432,0.0917225275,0.042325615,0.827033849,-0.7228060605,0.6860611933,-17.38938372,-11.478925567,0.660304436,-0.0695534089,0.0206733355,0.0322438623,0.0224641862,0.1849997722,0.0909451793,0.0438751577,0.7833398516,-0.7029912718,0.6165077975,-16.613456024,-10.998525906,0.6623970463
13,a,Pine,23,45,21.5,18.4,32,274,11.34,1.06,1.464,0.438,13.24,5.61,2.43,0.06,0.38,-0.83,2.58,B,2,299164.618,5701045.637,1260,7040,7.1,8.9,2598,1049,0.5,6.7,-0.7,1.9,13,3.46,4.1,15,0.0205538663,0.0362706173,0.0264577315,0.2309838896,0.107342257,0.0525051254,0.7957105125,-0.7257562381,0.6446453834,-15.904248357,-9.9496800686,0.6259499336,-0.0310979977,0.0225775092,0.0341550212,0.0235500978,0.1938290444,0.0975571995,0.0464791232,0.7831639142,-0.7003880287,0.6135473893,-15.434939635,-10.027134493,0.6499845683
